Part;Need (Qty);Unit/Pack Price;Calculation Note;Ext. (EUR);Link;;
Perf board;2;2.99;2 Units;5.98;https://www.aliexpress.com/item/1005007024264426.html;;
Female - Female Wires;1;2.99;1 Set;2.99;https://www.aliexpress.com/item/1005010008003815.html;;
Plastic roll 1kg;1;17.39;1 Roll;17.39;https://www.aliexpress.com/item/1005003657184537.html;;
ESP-32 Board;1;3.36;1 Unit;3.36;https://www.aliexpress.com/item/1005005953505528.html;;
MG-966R Servo;3;4.30;3 Units;12.90;https://www.aliexpress.com/item/1005010283020875.html;;
Sg-90 Servo;2;0.73;2 Units;1.46;https://www.aliexpress.com/item/1005005802803027.html;;
M3 screws 20mm;3;2.94;1 Pack (covers 3 pcs);2.94;https://www.aliexpress.com/item/1005008785231800.html;;
M4 screws 30mm;15;2.94;1 Pack (covers 15 pcs);2.94;https://www.aliexpress.com/item/1005008785231800.html;;
M6 screws 80mm;4;7.79;1 Pack (covers 4 pcs);7.79;https://www.aliexpress.com/item/1005006522304084.html;;
5V 5A Power Supply;1;5.31;1 Unit;5.31;https://www.aliexpress.com/item/1005007087317638.html;;
M6 nuts;4;2.83;1 Pack (covers 4 pcs);2.83;https://www.aliexpress.com/item/1005007658260188.html;;
6206zz bearing;1;6.50;1 Unit;6.50;https://www.lemona.lt/guolis-6206zz-30x62x16.html;;
Soldering wire roll;1;7.42;1 Roll;7.42;https://www.aliexpress.com/item/1005007377769256.html;;
Bearing 61904 2RS;1;4.80;1 Unit;4.80;https://www.anodas.lt/gilaus-griovelio-rutulinis-guolis-61904-2rs-20x37x9;;
Bearing 6201ZZ;1;3.50;1 Unit;3.50;https://www.lemona.lt/guolis-6201zz-12x32x10-skf.html;;
M1 Self-tapping screws;10;0.50;1 Pack (covers 10 pcs);0.50;https://www.aliexpress.com/item/1005008724193768.html;;
Pin Header;30;1.70;1 Pack (covers 30 pcs);1.70;https://www.aliexpress.com/item/1005007564228387.html;;
Power Plug Female;3;2.50;1 Pack (covers 3 pcs);2.50;https://www.aliexpress.com/item/1005006472747217.html;;
Power Plug Male;3;2.50;1 Pack (covers 3 pcs);2.50;https://www.aliexpress.com/item/1005006472747217.html;;
Electrical tape roll;1;2.02;1 Roll;2.02;https://www.aliexpress.com/item/1005007480412383.html;;
Wires 3m 20 AWG;1;0.99;1 Unit;0.99;https://www.aliexpress.com/item/1005009017260144.html;;
TOTAL;;;;105.81;;;
